group	label	ns	tau	cov	rc	pr	f
DNN ESM1b	DNN ESM1b	ec_numbers	0.270	0.996	0.953	0.953	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.280	0.996	0.953	0.954	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.290	0.996	0.952	0.954	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.300	0.996	0.952	0.955	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.310	0.996	0.952	0.955	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.320	0.996	0.951	0.955	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.330	0.996	0.951	0.956	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.340	0.996	0.951	0.956	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.350	0.995	0.950	0.956	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.360	0.995	0.950	0.957	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.370	0.995	0.950	0.957	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.380	0.995	0.950	0.957	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.390	0.995	0.949	0.957	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.400	0.995	0.949	0.958	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.410	0.995	0.949	0.958	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.420	0.995	0.948	0.958	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.430	0.995	0.948	0.958	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.440	0.994	0.948	0.959	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.450	0.994	0.948	0.959	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.460	0.994	0.947	0.959	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.470	0.994	0.947	0.960	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.480	0.994	0.947	0.960	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.490	0.994	0.946	0.960	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.500	0.994	0.946	0.960	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.510	0.993	0.945	0.961	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.520	0.993	0.945	0.961	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.530	0.993	0.945	0.961	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.540	0.993	0.945	0.961	0.953
DNN ESM1b	DNN ESM1b	ec_numbers	0.550	0.993	0.944	0.962	0.953
