filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro
deep_ec_results.tsv	ec_numbers	0.560	73104.000	3.154	0.545	0.770	0.848	0.803	0.967	0.545	0.770	0.825	0.943	0.853	0.804	0.827
deep_ec_results.tsv	ec_numbers	0.570	72978.000	3.148	0.534	0.776	0.850	0.801	0.966	0.534	0.776	0.825	0.941	0.855	0.802	0.828
deep_ec_results.tsv	ec_numbers	0.580	72876.000	3.144	0.522	0.780	0.852	0.800	0.964	0.522	0.780	0.825	0.939	0.858	0.801	0.828
deep_ec_results.tsv	ec_numbers	0.590	72763.000	3.139	0.511	0.785	0.854	0.799	0.963	0.511	0.785	0.825	0.936	0.860	0.800	0.829
deep_ec_results.tsv	ec_numbers	0.600	72651.000	3.134	0.499	0.790	0.856	0.797	0.961	0.499	0.790	0.826	0.935	0.863	0.799	0.829
deep_ec_results.tsv	ec_numbers	0.610	72504.000	3.128	0.487	0.796	0.858	0.796	0.959	0.487	0.796	0.826	0.934	0.865	0.797	0.830
deep_ec_results.tsv	ec_numbers	0.620	72363.000	3.122	0.477	0.802	0.860	0.794	0.958	0.477	0.802	0.826	0.933	0.868	0.796	0.830
deep_ec_results.tsv	ec_numbers	0.630	72243.000	3.117	0.467	0.807	0.862	0.793	0.956	0.467	0.807	0.826	0.932	0.870	0.794	0.830
deep_ec_results.tsv	ec_numbers	0.640	72090.000	3.112	0.457	0.812	0.863	0.792	0.954	0.457	0.812	0.826	0.932	0.872	0.793	0.831
deep_ec_results.tsv	ec_numbers	0.650	71938.000	3.106	0.447	0.818	0.865	0.790	0.952	0.447	0.818	0.826	0.932	0.874	0.791	0.831
deep_ec_results.tsv	ec_numbers	0.660	71783.000	3.100	0.436	0.824	0.867	0.789	0.950	0.436	0.824	0.826	0.932	0.877	0.790	0.831
deep_ec_results.tsv	ec_numbers	0.670	71637.000	3.094	0.426	0.830	0.869	0.787	0.948	0.426	0.830	0.826	0.933	0.879	0.788	0.831
deep_ec_results.tsv	ec_numbers	0.680	71490.000	3.088	0.416	0.836	0.871	0.785	0.946	0.416	0.836	0.826	0.934	0.881	0.787	0.831
deep_ec_results.tsv	ec_numbers	0.690	71341.000	3.082	0.405	0.842	0.873	0.784	0.944	0.405	0.842	0.826	0.934	0.884	0.786	0.832
deep_ec_results.tsv	ec_numbers	0.700	71157.000	3.076	0.395	0.848	0.875	0.782	0.942	0.395	0.848	0.826	0.935	0.886	0.784	0.832
deep_ec_results.tsv	ec_numbers	0.710	71004.000	3.070	0.386	0.854	0.877	0.781	0.940	0.386	0.854	0.826	0.937	0.888	0.782	0.832
deep_ec_results.tsv	ec_numbers	0.720	70817.000	3.063	0.376	0.861	0.879	0.779	0.937	0.376	0.861	0.826	0.939	0.891	0.781	0.832
deep_ec_results.tsv	ec_numbers	0.730	70636.000	3.056	0.366	0.868	0.881	0.777	0.935	0.366	0.868	0.826	0.942	0.893	0.779	0.832
deep_ec_results.tsv	ec_numbers	0.740	70449.000	3.049	0.357	0.875	0.883	0.775	0.932	0.357	0.875	0.826	0.945	0.895	0.777	0.832
deep_ec_results.tsv	ec_numbers	0.750	70283.000	3.042	0.347	0.882	0.885	0.773	0.930	0.347	0.882	0.826	0.948	0.898	0.775	0.832
deep_ec_results.tsv	ec_numbers	0.760	70074.000	3.035	0.338	0.889	0.888	0.772	0.927	0.338	0.889	0.825	0.951	0.900	0.773	0.832
deep_ec_results.tsv	ec_numbers	0.770	69878.000	3.028	0.328	0.896	0.890	0.770	0.925	0.328	0.896	0.825	0.954	0.902	0.772	0.832
deep_ec_results.tsv	ec_numbers	0.780	69661.000	3.020	0.318	0.904	0.892	0.768	0.922	0.318	0.904	0.825	0.958	0.905	0.770	0.832
deep_ec_results.tsv	ec_numbers	0.790	69448.000	3.013	0.309	0.911	0.894	0.766	0.919	0.309	0.911	0.825	0.962	0.907	0.768	0.832
deep_ec_results.tsv	ec_numbers	0.800	69235.000	3.005	0.299	0.919	0.896	0.764	0.916	0.299	0.919	0.825	0.967	0.909	0.766	0.831
deep_ec_results.tsv	ec_numbers	0.810	69018.000	2.997	0.290	0.927	0.899	0.762	0.913	0.290	0.927	0.824	0.972	0.912	0.764	0.831
deep_ec_results.tsv	ec_numbers	0.820	68776.000	2.987	0.281	0.937	0.901	0.759	0.910	0.281	0.937	0.824	0.978	0.914	0.761	0.831
deep_ec_results.tsv	ec_numbers	0.830	68508.000	2.978	0.271	0.946	0.904	0.757	0.907	0.271	0.946	0.824	0.985	0.916	0.759	0.830
deep_ec_results.tsv	ec_numbers	0.840	68221.000	2.967	0.262	0.957	0.906	0.754	0.903	0.262	0.957	0.823	0.993	0.919	0.756	0.830
deep_ec_results.tsv	ec_numbers	0.850	67899.000	2.956	0.252	0.968	0.909	0.751	0.899	0.252	0.968	0.822	1.001	0.921	0.753	0.829
deep_ec_results.tsv	ec_numbers	0.860	67621.000	2.945	0.243	0.979	0.911	0.748	0.895	0.243	0.979	0.822	1.008	0.924	0.751	0.828
deep_ec_results.tsv	ec_numbers	0.870	67301.000	2.934	0.231	0.990	0.914	0.745	0.891	0.231	0.990	0.821	1.017	0.927	0.748	0.828
deep_ec_results.tsv	ec_numbers	0.880	66959.000	2.921	0.221	1.003	0.917	0.742	0.886	0.221	1.003	0.820	1.027	0.930	0.744	0.827
deep_ec_results.tsv	ec_numbers	0.890	66593.000	2.907	0.211	1.017	0.920	0.738	0.881	0.211	1.017	0.819	1.038	0.932	0.741	0.826
deep_ec_results.tsv	ec_numbers	0.900	66173.000	2.893	0.200	1.031	0.923	0.735	0.876	0.200	1.031	0.818	1.050	0.935	0.737	0.825
