,Model,Level,EC,F1 score
265,DNN ESM2 3B,1,1.7.3,0.9696969696969697
266,DNN ESM2 3B,1,1.7.5,0.846153846153846
267,DNN ESM2 3B,1,1.7.7,0.888888888888889
268,DNN ESM2 3B,1,1.7.99,1.0
269,DNN ESM2 3B,1,1.8.1,0.9416666666666668
270,DNN ESM2 3B,1,1.8.2,0.9056603773584906
271,DNN ESM2 3B,1,1.8.3,0.9852941176470589
272,DNN ESM2 3B,1,1.8.4,0.9811320754716982
273,DNN ESM2 3B,1,1.8.5,0.8725490196078431
274,DNN ESM2 3B,1,1.8.7,0.9113924050632912
275,DNN ESM2 3B,1,1.8.98,0.9622641509433962
276,DNN ESM2 3B,1,1.8.99,0.9473684210526316
277,DNN ESM2 3B,1,1.9.6,1.0
278,DNN ESM2 3B,1,1.97.1,0.9666666666666667
279,DNN ProtBERT,1,1.1.1,0.9582823753227341
280,DNN ProtBERT,1,1.1.2,0.8235294117647058
281,DNN ProtBERT,1,1.1.3,0.896694214876033
282,DNN ProtBERT,1,1.1.5,0.8469750889679716
283,DNN ProtBERT,1,1.1.9,0.76
284,DNN ProtBERT,1,1.1.98,0.8045977011494253
285,DNN ProtBERT,1,1.1.99,0.8329519450800916
286,DNN ProtBERT,1,1.10.3,0.9397590361445783
287,DNN ProtBERT,1,1.11.1,0.9209621993127148
288,DNN ProtBERT,1,1.11.2,0.9333333333333333
289,DNN ProtBERT,1,1.12.1,0.7741935483870968
290,DNN ProtBERT,1,1.12.2,0.8000000000000002
291,DNN ProtBERT,1,1.12.5,0.8571428571428571
292,DNN ProtBERT,1,1.12.7,0.8148148148148148
293,DNN ProtBERT,1,1.12.98,0.8627450980392156
294,DNN ProtBERT,1,1.12.99,0.8260869565217391
295,DNN ProtBERT,1,1.13.11,0.9751801441152922
296,DNN ProtBERT,1,1.13.12,0.8868778280542986
297,DNN ProtBERT,1,1.13.99,0.896551724137931
298,DNN ProtBERT,1,1.14.11,0.9392565729827742
299,DNN ProtBERT,1,1.14.12,0.9152542372881356
300,DNN ProtBERT,1,1.14.13,0.9163120567375886
301,DNN ProtBERT,1,1.14.14,0.8521057786483839
