method,threshold,EC number,Number of positives,F1 score,Difference of F1 score
DNN ESM2 3B,1e-21,1.13.11.27,34,1.0,0.07936507936507942
DNN ESM2 3B,1e-21,1.13.11.37,14,0.9333333333333333,0.06666666666666676
DNN ESM2 3B,1e-21,1.13.11.57,15,0.967741935483871,0.07885304659498205
DNN ESM2 3B,1e-21,1.13.11.8,14,0.962962962962963,0.05973715651135014
DNN ESM2 3B,1e-21,1.13.12.16,26,0.8928571428571429,0.008241758241758323
DNN ESM2 3B,1e-21,1.13.12.19,18,0.8387096774193548,0.15120967741935465
DNN ESM2 3B,1e-21,1.13.12.7,18,0.8421052631578948,0.05140758873929008
DNN ESM2 3B,1e-21,1.14.11.17,16,0.8823529411764706,0.007352941176470562
DNN ESM2 3B,1e-21,1.14.11.27,33,0.9696969696969697,0.014473089099954706
DNN ESM2 3B,1e-21,1.14.11.4,14,0.962962962962963,0.03439153439153442
DNN ESM2 3B,1e-21,1.14.11.67,26,0.9803921568627451,0.018853695324283493
DNN ESM2 3B,1e-21,1.14.11.8,14,1.0,0.03448275862068961
DNN ESM2 3B,1e-21,1.14.11.9,14,0.6666666666666666,0.09523809523809523
DNN ESM2 3B,1e-21,1.14.12.1,14,0.6666666666666666,0.11494252873563227
DNN ESM2 3B,1e-21,1.14.12.10,16,0.7647058823529411,0.14932126696832582
DNN ESM2 3B,1e-21,1.14.13.131,18,0.9473684210526316,0.09022556390977454
DNN ESM2 3B,1e-21,1.14.13.149,22,1.0,0.022222222222222254
DNN ESM2 3B,1e-21,1.14.13.20,15,0.7142857142857142,0.09359605911330038
DNN ESM2 3B,1e-21,1.14.13.208,18,0.9714285714285714,0.026984126984127
DNN ESM2 3B,1e-21,1.14.13.22,15,0.25,0.01470588235294118
DNN ESM2 3B,1e-21,1.14.13.25,15,0.7333333333333333,0.01904761904761909
DNN ESM2 3B,1e-21,1.14.13.50,15,0.37500000000000006,0.030172413793103536
DNN ESM2 3B,1e-21,1.14.13.8,17,0.8205128205128205,0.02051282051282055
DNN ESM2 3B,1e-21,1.14.13.83,19,1.0,0.027027027027026973
DNN ESM2 3B,1e-21,1.14.13.84,18,0.7000000000000001,0.22941176470588243
DNN ESM2 3B,1e-21,1.14.13.9,39,0.9736842105263158,0.012645249487354682
DNN ESM2 3B,1e-21,1.14.13.92,17,0.7272727272727272,0.10227272727272718
DNN ESM2 3B,1e-21,1.14.14.10,14,0.8571428571428571,0.03361344537815125
DNN ESM2 3B,1e-21,1.14.14.12,14,0.9333333333333333,0.004761904761904745
DNN ESM2 3B,1e-21,1.14.14.18,27,0.9411764705882353,0.015250544662309351
DNN ESM2 3B,1e-21,1.14.14.21,15,1.0,0.06666666666666665
DNN ESM2 3B,1e-21,1.14.14.9,14,0.64,0.03130434782608693
DNN ESM2 3B,1e-21,1.14.15.21,25,0.9583333333333334,0.01715686274509809
DNN ESM2 3B,1e-21,1.14.15.3,19,0.9473684210526315,0.028449502133712556
DNN ESM2 3B,1e-21,1.14.15.6,19,0.9473684210526315,0.020539152759948665
DNN ESM2 3B,1e-21,1.14.16.1,28,0.9642857142857143,0.07539682539682535
DNN ESM2 3B,1e-21,1.14.17.3,21,0.975609756097561,0.02106430155210648
DNN ESM2 3B,1e-21,1.14.18.3,14,0.8666666666666666,0.09247311827956983
DNN ESM2 3B,1e-21,1.14.19.1,25,0.8936170212765958,0.02405180388529149
