tool_name,fold,label,precision,recall,f1_score,identity
prot_bert,1,6.3.3.1,1.0,1.0,1.0,70
prot_bert,1,6.3.3.2,0.95,1.0,0.9743589743589745,70
prot_bert,1,6.3.3.3,1.0,0.9791666666666666,0.9894736842105264,70
prot_bert,1,6.3.4.13,1.0,0.9375,0.967741935483871,70
prot_bert,1,6.3.4.14,0.631578947368421,0.75,0.6857142857142857,70
prot_bert,1,6.3.4.15,0.7058823529411765,0.8,0.7500000000000001,70
prot_bert,1,6.3.4.18,0.9523809523809524,1.0,0.975609756097561,70
prot_bert,1,6.3.4.19,1.0,1.0,1.0,70
prot_bert,1,6.3.4.2,1.0,1.0,1.0,70
prot_bert,1,6.3.4.20,1.0,0.9807692307692308,0.9902912621359222,70
prot_bert,1,6.3.4.21,1.0,0.9333333333333332,0.9655172413793104,70
prot_bert,1,6.3.4.22,1.0,0.9583333333333334,0.9787234042553192,70
prot_bert,1,6.3.4.23,1.0,1.0,1.0,70
prot_bert,1,6.3.4.3,1.0,1.0,1.0,70
prot_bert,1,6.3.4.4,1.0,0.9915254237288136,0.9957446808510638,70
prot_bert,1,6.3.4.5,1.0,1.0,1.0,70
prot_bert,1,6.3.4.6,0.9666666666666668,0.90625,0.935483870967742,70
prot_bert,1,6.3.5.1,1.0,0.9375,0.967741935483871,70
prot_bert,1,6.3.5.11,0.96,1.0,0.979591836734694,70
prot_bert,1,6.3.5.13,1.0,1.0,1.0,70
prot_bert,1,6.3.5.2,1.0,1.0,1.0,70
prot_bert,1,6.3.5.3,1.0,0.9883720930232558,0.9941520467836256,70
prot_bert,1,6.3.5.4,0.9375,0.9090909090909092,0.923076923076923,70
prot_bert,1,6.3.5.5,1.0,1.0,1.0,70
prot_bert,1,6.3.5.7,1.0,1.0,1.0,70
prot_bert,1,6.3.5.9,0.9444444444444444,0.9444444444444444,0.9444444444444444,70
prot_bert,1,6.4.1.1,0.8421052631578947,0.8,0.8205128205128205,70
prot_bert,1,6.4.1.2,1.0,0.6666666666666666,0.8,70
prot_bert,1,6.4.1.3,0.5714285714285714,0.4444444444444444,0.5,70
prot_bert,1,6.4.1.4,1.0,0.6896551724137931,0.8163265306122449,70
prot_bert,1,6.4.1.6,0.8846153846153846,0.7419354838709677,0.8070175438596492,70
prot_bert,1,6.4.1.7,0.4444444444444444,0.3333333333333333,0.380952380952381,70
prot_bert,1,6.4.1.8,0.6875,0.6875,0.6875,70
prot_bert,1,6.5.1.1,1.0,0.6842105263157895,0.8125000000000001,70
prot_bert,1,6.5.1.2,1.0,0.9904761904761904,0.9952153110047848,70
prot_bert,1,6.5.1.3,1.0,1.0,1.0,70
prot_bert,1,6.5.1.4,1.0,1.0,1.0,70
prot_bert,1,6.5.1.8,0.9696969696969696,0.9411764705882352,0.955223880597015,70
prot_bert,1,6.6.1.1,1.0,0.84375,0.9152542372881356,70
prot_bert,1,6.6.1.2,1.0,1.0,1.0,70
prot_bert,1,7.1.1.1,1.0,0.7692307692307693,0.8695652173913044,70
prot_bert,1,7.1.1.2,0.9759036144578314,0.8804347826086957,0.9257142857142858,70
prot_bert,1,7.1.1.3,0.96,0.96,0.96,70
prot_bert,1,7.1.1.6,1.0,1.0,1.0,70
prot_bert,1,7.1.1.8,1.0,0.8571428571428571,0.923076923076923,70
prot_bert,1,7.1.1.9,0.927536231884058,0.927536231884058,0.927536231884058,70
prot_bert,1,7.1.2.1,1.0,1.0,1.0,70
prot_bert,1,7.1.2.2,0.989247311827957,0.9583333333333334,0.9735449735449736,70
prot_bert,1,7.1.3.1,0.9523809523809524,0.8695652173913043,0.909090909090909,70
prot_bert,1,7.2.1.1,1.0,0.96,0.979591836734694,70
prot_bert,1,7.2.1.3,0.8076923076923077,0.9545454545454546,0.875,70
prot_bert,1,7.2.2.10,0.9375,0.8823529411764706,0.9090909090909092,70
prot_bert,1,7.2.2.11,1.0,1.0,1.0,70
prot_bert,1,7.2.2.14,1.0,1.0,1.0,70
prot_bert,1,7.2.2.6,1.0,1.0,1.0,70
prot_bert,1,7.2.2.8,0.9285714285714286,1.0,0.962962962962963,70
prot_bert,1,7.2.4.2,0.9333333333333332,0.875,0.9032258064516128,70
prot_bert,1,7.3.2.1,0.989010989010989,0.9183673469387756,0.9523809523809524,70
prot_bert,1,7.3.2.7,1.0,1.0,1.0,70
prot_bert,1,7.4.2.11,0.9666666666666668,0.9666666666666668,0.9666666666666668,70
prot_bert,1,7.4.2.4,0.9333333333333332,0.6666666666666666,0.7777777777777778,70
prot_bert,1,7.4.2.5,0.7,0.2592592592592592,0.3783783783783783,70
prot_bert,1,7.4.2.8,0.96875,1.0,0.984126984126984,70
prot_bert,1,7.5.2.11,1.0,0.7096774193548387,0.8301886792452831,70
prot_bert,1,7.6.2.1,0.8846153846153846,1.0,0.9387755102040816,70
prot_bert,1,7.6.2.11,1.0,1.0,1.0,70
prot_bert,1,7.6.2.13,1.0,1.0,1.0,70
prot_bert,1,7.6.2.2,0.8666666666666667,0.5,0.6341463414634146,70
prot_bert,1,7.6.2.3,0.9166666666666666,0.9565217391304348,0.9361702127659574,70
prot_bert,1,7.6.2.5,1.0,0.9285714285714286,0.962962962962963,70
prot_bert,1,7.6.2.8,1.0,0.9090909090909092,0.9523809523809524,70
prot_bert,2,1,0.9699053133104156,0.9641486810551558,0.967018429993085,70
prot_bert,2,2,0.97254359490275,0.9632966576707496,0.9678980413424836,70
prot_bert,2,3,0.9584168336673348,0.9578836096583956,0.9581501474762092,70
prot_bert,2,4,0.9414547604967476,0.9017275559331634,0.9211630261825546,70
prot_bert,2,5,0.9376609994848016,0.9273885350318471,0.9324964775201742,70
prot_bert,2,6,0.989719426001285,0.9619067443796836,0.9756149055209544,70
prot_bert,2,7,0.9756838905775076,0.9663823381836428,0.9710108394252585,70
prot_bert,2,1.1,0.944018058690745,0.927478376580173,0.9356751314464704,70
prot_bert,2,1.10,0.9558823529411764,0.7303370786516854,0.8280254777070064,70
prot_bert,2,1.11,0.935897435897436,0.8649289099526066,0.8990147783251231,70
prot_bert,2,1.12,0.9294117647058824,0.8272251308900523,0.8753462603878117,70
prot_bert,2,1.13,0.9455307262569832,0.899070385126162,0.921715452688904,70
prot_bert,2,1.14,0.967844635466412,0.9353846153846154,0.9513378188076984,70
prot_bert,2,1.15,1.0,0.864406779661017,0.9272727272727274,70
prot_bert,2,1.16,0.972972972972973,0.8503937007874016,0.907563025210084,70
prot_bert,2,1.17,0.8918918918918919,0.8136986301369863,0.8510028653295129,70
prot_bert,2,1.18,0.9096045197740112,0.9252873563218392,0.9173789173789174,70
prot_bert,2,1.2,0.9390080428954424,0.9390080428954424,0.9390080428954424,70
prot_bert,2,1.20,0.9659090909090908,0.9239130434782608,0.9444444444444444,70
prot_bert,2,1.21,0.9586206896551724,0.8424242424242424,0.896774193548387,70
prot_bert,2,1.3,0.9503141062250144,0.873490813648294,0.9102844638949672,70
prot_bert,2,1.4,0.9297709923664124,0.8995568685376661,0.9144144144144144,70
prot_bert,2,1.5,0.9088397790055248,0.8534370946822308,0.8802675585284281,70
prot_bert,2,1.6,0.892,0.861003861003861,0.8762278978388998,70
prot_bert,2,1.7,0.9295774647887324,0.9295774647887324,0.9295774647887324,70
prot_bert,2,1.8,0.9729272419627748,0.8285302593659942,0.8949416342412451,70
prot_bert,2,1.9,1.0,0.8947368421052632,0.9444444444444444,70
prot_bert,2,1.97,0.9302325581395348,0.7407407407407407,0.8247422680412371,70
prot_bert,2,2.1,0.9790194819096552,0.9621291815695352,0.9705008488964346,70
prot_bert,2,2.10,1.0,0.8636363636363636,0.9268292682926828,70
prot_bert,2,2.2,0.9855769230769232,0.8991228070175439,0.9403669724770642,70
prot_bert,2,2.3,0.9475749929913092,0.9365475200886672,0.9420289855072465,70
prot_bert,2,2.4,0.9805073431241657,0.9374521317334696,0.9584964761158966,70
prot_bert,2,2.5,0.9703872437357632,0.9435215946843852,0.9567658618753508,70
prot_bert,2,2.6,0.9837786259541984,0.9635514018691588,0.9735599622285176,70
prot_bert,2,2.7,0.9758097029969092,0.9540139272106162,0.9647887323943662,70
prot_bert,2,2.8,0.9653948535936112,0.9577464788732394,0.96155545735749,70
prot_bert,2,2.9,1.0,0.9433962264150944,0.970873786407767,70
prot_bert,2,3.1,0.9469601677148848,0.9006979062811565,0.923249872253449,70
prot_bert,2,3.11,1.0,1.0,1.0,70
prot_bert,2,3.13,0.9833333333333332,0.9365079365079364,0.9593495934959352,70
prot_bert,2,3.2,0.9619637328615656,0.8863080684596577,0.9225874867444328,70
prot_bert,2,3.3,0.9012345679012346,0.776595744680851,0.8342857142857142,70
prot_bert,2,3.4,0.9595815501664288,0.9388229820888578,0.9490887713109936,70
prot_bert,2,3.5,0.9585574185384372,0.9206927985414768,0.9392436453812772,70
prot_bert,2,3.6,0.9514925373134328,0.9355890746025276,0.9434737923946558,70
prot_bert,2,3.7,0.9074889867841408,0.824,0.8637316561844864,70
prot_bert,2,3.8,0.8631578947368421,0.6721311475409836,0.7557603686635944,70
prot_bert,2,3.9,0.7647058823529411,0.65,0.7027027027027027,70
prot_bert,2,4.1,0.9344262295081968,0.9132473622508792,0.9237154150197628,70
prot_bert,2,4.2,0.951543431442929,0.8950033760972316,0.9224077940153096,70
prot_bert,2,4.3,0.964332892998679,0.9079601990049752,0.9352978859705318,70
prot_bert,2,4.4,0.9310344827586208,0.8379310344827586,0.8820326678765881,70
prot_bert,2,4.6,0.9747899159663864,0.8754716981132076,0.922465208747515,70
prot_bert,2,4.7,1.0,0.8888888888888888,0.9411764705882352,70
prot_bert,2,4.98,1.0,0.975609756097561,0.9876543209876544,70
prot_bert,2,4.99,1.0,0.8854166666666666,0.9392265193370166,70
prot_bert,2,5.1,0.8933582787652011,0.8818097876269622,0.887546468401487,70
prot_bert,2,5.2,0.9926739926739928,0.9377162629757786,0.9644128113879004,70
prot_bert,2,5.3,0.9465875370919882,0.8943925233644859,0.9197501201345508,70
prot_bert,2,5.4,0.9647495361781075,0.936093609360936,0.9502055733211512,70
prot_bert,2,5.5,0.8125,0.7975460122699386,0.8049535603715171,70
prot_bert,2,5.6,0.9774011299435028,0.9402173913043478,0.9584487534626038,70
prot_bert,2,5.99,1.0,1.0,1.0,70
prot_bert,2,6.1,0.99933598937583,0.9888304862023654,0.9940554821664466,70
prot_bert,2,6.2,0.9652509652509652,0.929368029739777,0.946969696969697,70
prot_bert,2,6.3,0.9846827133479212,0.9546033092914722,0.969409737182249,70
prot_bert,2,6.4,0.87248322147651,0.896551724137931,0.8843537414965987,70
prot_bert,2,6.5,0.9946524064171124,0.9346733668341708,0.9637305699481864,70
prot_bert,2,6.6,1.0,0.9285714285714286,0.962962962962963,70
prot_bert,2,7.1,0.9886899151743638,0.9391226499552372,0.9632690541781452,70
prot_bert,2,7.2,0.957345971563981,0.9395348837209302,0.948356807511737,70
prot_bert,2,7.3,0.9456521739130436,0.9456521739130436,0.9456521739130436,70
prot_bert,2,7.4,0.9805194805194806,0.8435754189944135,0.9069069069069068,70
prot_bert,2,7.5,0.8767123287671232,0.9846153846153848,0.927536231884058,70
prot_bert,2,7.6,0.8931297709923665,0.9590163934426228,0.924901185770751,70
prot_bert,2,1.1.1,0.9352989352989352,0.9304725692558392,0.9328795098706604,70
prot_bert,2,1.1.2,0.8514851485148515,0.7478260869565218,0.7962962962962963,70
prot_bert,2,1.1.3,0.9043478260869564,0.7908745247148289,0.8438133874239351,70
prot_bert,2,1.1.5,0.946808510638298,0.7807017543859649,0.8557692307692308,70
prot_bert,2,1.1.9,0.6956521739130435,0.64,0.6666666666666666,70
prot_bert,2,1.1.98,0.717948717948718,0.6363636363636364,0.674698795180723,70
prot_bert,2,1.1.99,0.7698412698412699,0.7854251012145749,0.7775551102204409,70
prot_bert,2,1.10.3,0.9464285714285714,0.6708860759493671,0.7851851851851852,70
prot_bert,2,1.11.1,0.9312320916905444,0.8552631578947368,0.8916323731138546,70
prot_bert,2,1.11.2,0.9,0.8780487804878049,0.888888888888889,70
prot_bert,2,1.12.1,0.8717948717948718,0.723404255319149,0.7906976744186047,70
prot_bert,2,1.12.2,0.2352941176470588,0.5714285714285714,0.3333333333333333,70
prot_bert,2,1.12.5,0.8,0.4444444444444444,0.5714285714285714,70
prot_bert,2,1.12.7,1.0,0.5909090909090909,0.7428571428571429,70
prot_bert,2,1.12.98,0.9491525423728814,0.7368421052631579,0.8296296296296296,70
prot_bert,2,1.12.99,0.8235294117647058,0.6666666666666666,0.7368421052631577,70
prot_bert,2,1.13.11,0.9668411867364748,0.9187396351575456,0.9421768707482991,70
prot_bert,2,1.13.12,0.8956521739130435,0.7862595419847328,0.8373983739837398,70
prot_bert,2,1.13.99,1.0,0.7647058823529411,0.8666666666666666,70
prot_bert,2,1.14.11,0.95,0.9229480737018424,0.9362786745964315,70
prot_bert,2,1.14.12,0.9019607843137256,0.7965367965367965,0.8459770114942529,70
prot_bert,2,1.14.13,0.9100591715976332,0.8962703962703963,0.903112155020552,70
prot_bert,2,1.14.14,0.8601694915254238,0.8547368421052631,0.8574445617740233,70
prot_bert,2,1.14.15,0.8594249201277955,0.9372822299651568,0.8966666666666665,70
prot_bert,2,1.14.16,1.0,0.8541666666666666,0.9213483146067416,70
prot_bert,2,1.14.17,0.9090909090909092,0.8163265306122449,0.8602150537634408,70
prot_bert,2,1.14.18,0.9411764705882352,0.7741935483870968,0.8495575221238938,70
prot_bert,2,1.14.19,0.9915254237288136,0.8897338403041825,0.937875751503006,70
prot_bert,2,1.14.20,0.3636363636363636,0.3333333333333333,0.3478260869565217,70
prot_bert,2,1.14.99,0.9074889867841408,0.8442622950819673,0.8747346072186836,70
prot_bert,2,1.15.1,1.0,0.864406779661017,0.9272727272727274,70
prot_bert,2,1.16.1,0.9423076923076924,0.8032786885245902,0.8672566371681416,70
prot_bert,2,1.16.3,1.0,0.8813559322033898,0.936936936936937,70
prot_bert,2,1.17.1,0.8041237113402062,0.7878787878787878,0.7959183673469388,70
prot_bert,2,1.17.2,0.75,0.5454545454545454,0.631578947368421,70
prot_bert,2,1.17.4,0.9056603773584906,0.7272727272727273,0.8067226890756303,70
prot_bert,2,1.17.5,0.6388888888888888,0.8518518518518519,0.7301587301587301,70
prot_bert,2,1.17.7,1.0,0.9714285714285714,0.9855072463768116,70
prot_bert,2,1.17.99,1.0,0.975609756097561,0.9876543209876544,70
prot_bert,2,1.18.1,0.9113924050632912,0.9290322580645162,0.9201277955271564,70
prot_bert,2,1.18.6,1.0,0.8947368421052632,0.9444444444444444,70
prot_bert,2,1.2.1,0.968054211035818,0.9487666034155596,0.95831336847149,70
prot_bert,2,1.2.3,0.7868852459016393,0.8727272727272727,0.8275862068965518,70
prot_bert,2,1.2.4,0.958904109589041,0.9210526315789472,0.9395973154362416,70
prot_bert,2,1.2.5,0.7666666666666667,0.696969696969697,0.7301587301587302,70
prot_bert,2,1.2.7,0.8275862068965517,0.9281767955801103,0.875,70
prot_bert,2,1.2.98,0.4285714285714285,0.5454545454545454,0.4799999999999999,70
prot_bert,2,1.2.99,0.64,0.7272727272727273,0.6808510638297872,70
prot_bert,2,1.20.4,0.971830985915493,0.9452054794520548,0.9583333333333334,70
prot_bert,2,1.20.9,1.0,0.75,0.8571428571428571,70
prot_bert,2,1.21.1,1.0,0.9230769230769232,0.96,70
prot_bert,2,1.21.4,1.0,0.9090909090909092,0.9523809523809524,70
prot_bert,2,1.21.98,0.9807692307692308,0.8793103448275862,0.9272727272727272,70
prot_bert,2,1.3.1,0.9325699745547074,0.7924324324324324,0.8568088836937463,70
prot_bert,2,1.3.3,0.9181818181818182,0.8782608695652174,0.8977777777777778,70
prot_bert,2,1.3.5,0.841726618705036,0.951219512195122,0.8931297709923663,70
prot_bert,2,1.3.7,0.9887640449438202,0.9496402877697842,0.9688073394495412,70
prot_bert,2,1.3.8,0.875,0.8212290502793296,0.8472622478386167,70
prot_bert,2,1.3.98,0.8157894736842105,0.8611111111111112,0.8378378378378377,70
prot_bert,2,1.3.99,0.883495145631068,0.7878787878787878,0.8329519450800916,70
prot_bert,2,1.4.1,0.9098039215686274,0.9243027888446216,0.91699604743083,70
prot_bert,2,1.4.3,0.8812260536398467,0.8424908424908425,0.8614232209737828,70
prot_bert,2,1.4.4,1.0,1.0,1.0,70
